Year,White_AggregateIncome,White_EffRate,White_TaxContribution,Black_AggregateIncome,Black_EffRate,Black_TaxContribution,Asian_AggregateIncome,Asian_EffRate,Asian_TaxContribution,Hispanic_AggregateIncome,Hispanic_EffRate,Hispanic_TaxContribution
2009,6560237325100.0,0.1614436826923077,1059108873099.6777,622559100900.0,0.1318134326923077,82061652143.46574,368362703300.0,0.16840388461538464,62033710183.14436,688950153600.0,0.13982331730769232,96331295935.99615
2010,6684937058000.0,0.16240192307692308,1085646633867.3885,655595005300.0,0.13286147115384617,87103316885.27158,403693500100.0,0.16853274038461538,68035571847.310005,736183797700.0,0.1401924903846154,103207439980.3669
2011,6872856179100.0,0.1642618653846154,1128948176499.1465,676829990400.0,0.13317084615384614,90134022523.86755,423876451600.0,0.17152616346153846,72705901524.63849,767876095800.0,0.1412889326923077,108492394015.5182
2012,6945245632500.0,0.164918,1145396019220.635,685865365000.0,0.133509125,91569284748.95563,439923582800.0,0.17331534615384614,76245508034.2222,787050206900.0,0.14128371153846153,111197374397.94606
2013,6998733196000.0,0.16528633653846153,1156794970376.9585,692542538900.0,0.13413782692307694,92896151219.83647,455806461700.0,0.17374316346153845,79193256581.96857,806436992700.0,0.14149971153846153,114110601840.9944
2014,7123571149800.0,0.16629165384615385,1184590427790.9897,705933905200.0,0.13444596153846156,94909962667.21516,479480906300.0,0.17518071153846154,83995806334.7404,839063691100.0,0.14218010576923076,119298164347.71916
2015,7238834865900.0,0.16713514423076925,1209863709374.9177,718267734200.0,0.13432922115384616,96484345315.02379,504440437000.0,0.1764031826923077,88984898565.49854,868990220500.0,0.14274624038461536,124045086907.37291
2016,7482939051400.0,0.16939746153846152,1267590880154.1833,749340735700.0,0.13583914423076923,101789804274.74303,536012979700.0,0.17944610576923076,96185441848.92674,916941058300.0,0.14454347115384614,132537843410.1632
2017,7847168287800.0,0.17285908653846155,1356454342142.6914,791808427200.0,0.1375693653846154,108928582836.09444,584096662200.0,0.1837736923076923,107341600277.0929,988795910800.0,0.1480505,146391728991.89542
2018,8221864233400.0,0.1766463269230769,1452362117290.3296,839652929800.0,0.14053789423076923,118003054638.7879,632083788800.0,0.18813667307692308,118918141130.68849,1063618885600.0,0.15153895192307693,161179691169.41507
2019,8610270704200.0,0.18048704807692306,1554042342544.2676,889309160800.0,0.143637125,127737811093.4747,683859353700.0,0.1929979423076923,131983448091.96834,1141868304500.0,0.15539083653846153,177435871053.0097
2020,8807211542900.0,0.1835854423076923,1616875826600.7097,932125570500.0,0.14639002884615385,136453889153.7326,739359621400.0,0.19659603846153847,145355172565.66293,1242865237000.0,0.15906099038461538,197691375511.8297
2021,9253953170200.0,0.18993116346153846,1757614092234.6782,998683697000.0,0.15022901923076926,150031272322.06873,819874984600.0,0.20435946153846152,167549210381.71042,1385582438200.0,0.16472383653846157,228238455060.6198
2022,9960756636000.0,0.19942290384615385,1986403012855.967,1103639129300.0,0.15803265384615384,174411020491.73752,936609382200.0,0.21719349038461538,203425460846.99625,1571553118600.0,0.17353296153846154,272716266885.6631
2023,10264945064100.0,0.2048707019230769,2102986500483.9907,1167986344100.0,0.16156665384615385,188707645354.23944,1016415489400.0,0.22405919230769228,227737233603.99176,1715204292400.0,0.1797144903846154,308247065314.17084
2024,10387653094800.0,0.20856399038461537,2166490380182.5874,1210480419300.0,0.1645759423076923,199215955651.30798,1095850044400.0,0.22892931730769228,250872202536.09628,1837935473200.0,0.18408448076923076,338335397271.37244
